Suplementary Table S2. Description of samples used to construct phylogenetic trees and temporal network.																									
Canine type	Age(BP)	Cal (BP)	UDG treatment	Location	Region	GenBank Accession Number	Breed	Sample ID	Sample Name (This Study)	Genome Size	Number of known pb	Haplogroup	Haplogroup (in this study)	Source	BEAST and ML trees	Temporal Network									
Coyote	0			n/a	n/a	NC_008093.1	n/a	n/a	Canis_latrans	16724 bp of mt genome	16713 bp of mt genome	n/a	n/a	Bjornerfeldt et al. 2006	?										
Dog	0			n/a	n/a	NC_002008.4	Boxer	n/a	eDog_ref	16727 bp of mt genome	16727 bp of mt genome	A1a	n/a	Kim et al. 1998	?										
Dog	0			Portugal/Spain	Iberian Peninsula	EU789655.1	Spanish Galgo	D6_R33	eDog_D6_ES/PT_HgD1a	16195 bp of mt genome	16194 bp of mt genome	D1a	n/a	Pang et al. 2009	?	?									
Dog	0			Spain	Iberian Peninsula	EU789714.1	Spanish Galgo	A34_R34	eDog_A34_ES_HgA	16195 bp of mt  genome	16194 bp of mt genome	A	n/a	Pang et al.2009	?	?									
Dog	0			Russia	Russia/Caucasus	KM061563.1	Schnauzer	stp79	eDog_stp79_RU_HgA1a1b1a	16730 bp of mt genome	16708 bp of mt genome	A1a1b1a	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061532.1	mixed breed	pl25	eDog_pl25_PL_HgA1a1b1b	16730 bp of mt genome	16730 bp of mt genome	A1a1b1b	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061584.1	Jagdterrier	pluno	eDog_pluno_PL_HgA1a1e1	16730 bp of mt genome	16730 bp of mt genome	A1a1e1	n/a	Duleba et al. 2015	?	?									
Dog	0			Ukraine	Europe	KM061581.1	mixed breed	u16	eDog_u16_UA_HgA1b1a1	16733  bp of mt genome	16733  bp of mt genome	A1b1a1	n/a	Duleba et al. 2015	?	?									
Dog	0			Ukraine	Europe	KM061583.1	mixed breed	u6	eDog_u6_UA_HgA1b2a1a1	16730 bp of mt genome	16730 bp of mt genome	A1b2a1a1	n/a	Duleba et al. 2015	?	?									
Dog	0			Russia	Russia/Caucasus	KM061567.1	Doberman Pinscher	stp86	eDog_stp86_RU_HgA1b4	16730 bp of mt genome	16730 bp of mt genome	A1b4	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061542.1	Shar-pei	pl69	eDog_pl69_PL_HgA2a1a	16730 bp of mt genome	16730 bp of mt genome	A2a1a	n/a	Duleba et al. 2015	?	?									
Dog	0			Russia	Russia/Caucasus	KM061562.1	Pekingese	stp77	eDog_stp77_RU_HgA4a	16731  bp of mt genome	16731  bp of mt genome	A4a	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061546.1	mixed breed	pl96	eDog_pl96_PL_HgB1a1c	16731  bp of mt genome	16731  bp of mt genome	B1a1c	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061538.1	Great Dane	pl54	eDog_pl54_PL_HgB1a1d	16730 bp of mt genome	16730 bp of mt genome	B1a1d	n/a	Duleba et al. 2015	?	?									
Dog	0			Russia	Russia/Caucasus	KM061565.1	mixed breed	stp82	eDog_stp82_RU_HgB1a1e	16730 bp of mt genome	16730 bp of mt genome	B1a1e	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061539.1	mixed breed	pl57	eDog_pl57_PL_HgB1a1f1b	16731  bp of mt genome	16731  bp of mt genome	B1a1f1b	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061543.1	Shar-pei	pl70	eDog_pl70_PL_HgB1a1i	16730 bp of mt genome	16730 bp of mt genome	B1a1i	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061545.1	Boxer	pl88	eDog_pl88_PL_HgB1a1k	16731  bp of mt genome	16731  bp of mt genome	B1a1k	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061540.1	Doberman Pinscher	pl6	eDog_pl6_PL_HgC1a1a	16730 bp of mt genome	16730 bp of mt genome	C1a1a	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061534.1	German Shepherd	pl43	eDog_pl43_PL_HgC1a2a	16730 bp of mt genome	16730 bp of mt genome	C1a2a	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061535.1	Jagdterrier	pl44	eDog_pl44_PL_HgC1a4	16730 bp of mt genome	16730 bp of mt genome	C1a4	n/a	Duleba et al. 2015	?	?									
Dog	0			Poland	Europe	KM061533.1	Maltese (dog)	pl32	eDog_pl32_PL_HgC2a1a	16730 bp of mt genome	16730 bp of mt genome	C2a1a	n/a	Duleba et al. 2015	?	?									
Dog	0			Russia	Russia/Caucasus	KM061561.1	Black Russian Terrier	stp75	eDog_stp75_RU_HgC2a3	16730 bp of mt genome	16730 bp of mt genome	C2a3	n/a	Duleba et al. 2015	?	?									
Dog	0			Iran	Middle East	EU789735	n/a	A11_m54	eDog_A11_m54_IR_HgA1a1	16196 bp of mt genome	16195 bp of mt genome	A1a1	n/a	Pang et al. 2009	?	?									
Dog	0			Great Britain	Europe	AY656747.1	Welsh Springer Spaniel	WSS	eDog_WSS_UK_HgA1a1a	16770 bp of mt genome	16770 bp of mt genome	A1a1a	n/a	Shahid et al. (unpublished data)	?	?									
Dog	0			Great Britain	Europe	AY656744.1	English Springer Spaniel	ESS	eDog_ESS_UK_HgA1a1c	16730 bp of mt genome	16730 bp of mt genome	A1a1c	n/a	Shahid et al. (unpublished data)	?	?									
Dog	0			Great Britain	Europe	DQ480496.1	Irish Soft Coated Wheaten Terrier	ISCWT	eDog_ISCWT_UK_HgA1a1d	16729 bp of mt genome	16722 bp of mt genome	A1a1d	n/a	Björnerfeldt et al.2006	?	?									
Dog	0			Great Britain	Europe	EU789728.1	Golden Retriever	A16_R108	eDog_A16_R108_UK_HgA1b1a2	16198 bp of mt genome	16197 bp of mt genome	A1b1a2	n/a	Pang et al. 2009	?	?									
Dog	0			Great Britain	Europe	EU789683.1	Border collie	A1_R105	eDog_A1_R105_UK_HgA1b2a2b	16196 bp of mt genome	16195 bp of mt genome	A1b2a2b	n/a	Pang et al. 2009	?	?									
Dog	0			Sweden	Europe	DQ480497.1	West Highland White Terrier	WHWT	eDog_WHWT_SE_HgA1b2b	16730 bp of mt genome	16725 bp of mt genome	A1b2b	n/a	Björnerfeldt et al. 2006	?	?									
Dog	0			Sweden	Europe	DQ480491.1	Irish Setter	IS1	eDog_IS1_SE_HgA1b3a1	16730 bp of mt genome	16718 bp of mt genome	A1b3a1	n/a	Björnerfeldt et al. 2006	?	?									
Dog	0			Great Britain	Europe	AY656741.1	Irish Setter	IS2	eDog_IS2_UK_HgA1b3b1	16710 bp of mt genome	16710 bp of mt genome	A1b3b1	n/a	Shahid et al. (unpublished data)	?	?									
Dog	0			Great Britain	Europe	DQ480500.1	Shetland sheepdog	SS	eDog_SS_UK_HgB1a1a	16730 bp of mt genome	16709 bp of mt genome	B1a1a	n/a	Björnerfeldt et al. 2006	?	?									
Dog	0			Great Britain	Europe	EU789652.1	Collie	B1_m510	eDog_B1_m510_UK_HgB1a1b	16196 bp of mt genome	16195 bp of mt genome	B1a1b	n/a	Pang et al. 2009	?	?									
Dog	0			Germany	Europe	AY656752.1	Standard Schnauzer	SS	eDog_SS_DE_HgB1a1h	16720 bp of mt genome	16720 bp of mt genome	B1a1h	n/a	Shahid et al. (unpublished data)	?	?									
Dog	0			Iran	Middle East	EU789653.1	n/a	B1_m48	eDog_B1_m48_IR_HgB1a1j	16196 bp of mt genome	16195 bp of mt genome	B1a1j	n/a	Pang et al. 2009	?	?									
Dog	0			Belgium	Europe	KJ637111.1	mixed breed	Be47_1	eDog_Be47_1_BE_HgB1a1m	16530 bp of mt genome	16430 bp of mt genome	B1a1m	n/a	Verscheure et al. 2014	?	?									
Dog	0			Belgium	Europe	KJ637107.1	mixed breed	Be44_1	eDog_Be44_1_BE_HgB1a1n	16530 bp of mt genome	16430 bp of mt genome	B1a1n	n/a	Verscheure et al. 2014	?	?									
Dog	0			Belgium	Europe	KJ637110.1	mixed breed	Be46_1	eDog_Be46_1_BE_HgB1a1o	16529 bp of mt genome	16429 bp of mt genome	B1a1o	n/a	Verscheure et al. 2014	?	?									
Dog	0			Belgium	Europe	KJ637113.1	Labrador Retriever	Be47_11	eDog_Be47_11_BE_HgB1a1p	16530 bp of mt genome	16430 bp of mt genome	B1a1p	n/a	Verscheure et al. 2014	?	?									
Dog	0			Scandinavia	Europe	EU789774.1	Jamthund	C3_D13	eDog_C3_D13_Scandinavia_HgC2a2a	16196 bp of mt genome	16196 bp of mt genome	C2a2a	n/a	Pang et al. 2009	?	?									
Dog	0			Belgium	Europe	KJ637136.1	Cocker Spaniel	Be53_1	eDog_Be53_1_BE_HgC2a5	16530 bp of mt genome	16430 bp of mt genome	C2a5	n/a	Verscheure et al. 2014	?	?									
Dog	0			Turkey	Middle East	EU789654.1	Kangal	D5_m98	eDog_D5_m98_TR_HgD1	16195 bp of mt genome	16194 bp of mt genome	D1	n/a	Pang et al. 2009	?	?									
Dog	0			Sweden	Europe	DQ480502.1	Jämthund	n/a	eDog_Jamthund2_SE_HgD2a	16729 bp of mt genome	16709 bp of mt genome	D2a	n/a	Björnerfeldt et al. 2006	?	?									
Dog	0			Scandinavia	Europe	EU789783.1	Jämthund	D8_D14	eDog_D8_D14_Scandinavia_HgD2a1	16195 bp of mt genome	16195 bp of mt genome	D2a1	n/a	Pang et al. 2009	?	?									
Dog	0			Sweden	Europe	DQ480499.1	Siberian Husky	n/a	eDog_Husky_SE_HgA1b 	16730 bp of mt genome	16711 bp of mt genome	A1b	n/a	Bjornerfeldt et al. 2006	?	?									
Dog	0			Sweden	Europe	DQ480492.1	Jämthund	n/a	eDog_Jamthund1_SE_HgD	16729 bp of mt genome	16721 bp of mt genome	D	n/a	Bjornerfeldt et al. 2006	?	?									
Dog	0			Sweden	Europe	DQ480495.1	Cocker spaniel	n/a	eDog_CS_SE_HgA1a	16730 bp of mt genome	16720 bp of mt genome	A1a	n/a	Bjornerfeldt et al. 2006	?	?									
Dog	0			Sweden	Europe	DQ480489.1	German Shepherd	n/a	 eDog_GS_SE_HgC 	16730 bp of mt genome	16724 bp of mt genome	C	n/a	Bjornerfeldt et al. 2006	?	?									
Dog	0			Sweden	Europe	DQ480501.1	Elkhound	n/a	eDog_Elkhound_SE_HgC 	16730 bp of mt genome	16715 bp of mt genome	C	n/a	Bjornerfeldt et al. 2006	?	?									
Dog	0			Sweden	Europe	DQ480493.1	Black Russian Terrier	n/a	eDog_BRT_SE_HgC	16730 bp of mt genome	16715 bp of mt genome	C	n/a	Bjornerfeldt et al. 2006	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916015	Castro Laboreiro Watchdog	DOGPT12	eDog_PT12-CLWD_PT_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Morocco	North Africa	MW916016	Aidi	DOGAfr13	eDog_Afr13-Aidi_MA_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Morocco	North Africa	MW916017	Aidi	DOGAfr14	eDog_Afr14-Aidi_MA_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Morocco	North Africa	MW916018	Aidi	DOGAfr16	eDog_Afr16-Aidi_MA_HgD	16729 bp of mt genome	16729 bp of mt genome	n/a	D	This study	?	?									
Dog	0			Morocco	North Africa	MW916019	Aidi	DOGAfr17	eDog_Afr17-Aidi_MA_HgA	16732 bp of mt genome	16732 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916020	Estrela Mountain Dog	DOGPT18	eDog_PT18-EMD_PT_HgC	16731 bp of mt genome	16731 bp of mt genome	n/a	C	This study	?	?									
Dog	0			Morocco	North Africa	MW916021	Sloughi	DOGAfr9	eDog_Afr19-SG_MA_HgD	16729 bp of mt genome	16729 bp of mt genome	n/a	D	This study	?	?									
Dog	0			Morocco	North Africa	MW916022	Sloughi	DOGAfr20	eDog_Afr20-SG_MA_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Morocco	North Africa	MW916023	Sloughi	DOGAfr21	eDog_Afr21-SG_MA_HgA	16730 bp of mt genome	16730 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916024	Portuguese Water Dog	DOGPT22	eDog_PT22-PWD_PT_HgA	16760 bp of mt genome	16760 bp of mt genome	n/a	A	This study	?	?									
Dog	0			Portugal	Iberian Peninsula	MW916025	Portuguese Water Dog	DOGPT23	eDog_PT23-PWD_PT_HgB	16731 bp of mt genome	16731 bp of mt genome	n/a	B	This study	?	?									
